job_id,title,role_category,seniority,company,company_tier,industry,location,remote_type,is_remote,salary_min,salary_max,salary_midpoint,skills,num_skills_required,yoe_min,yoe_max,education_required,visa_sponsorship,benefits,description_snippet,source,date_posted,days_since_posted,growth_trend,company_size_tier,scraped_at
39c1f850-af8,Data Analyst,Data Analyst,Mid Level,Netflix,FAANG+,InsurTech,"Seattle, WA",On-site,False,194000,221000,205000,SQL|Excel|Tableau|Power BI|Git|Python,6,2,4,Bachelor's Degree,Yes,Health Insurance|Gym Membership|Unlimited PTO|Stock Options / RSUs|Mental Health Benefits|Free Meals,"We are looking for a Mid Level Data Analyst to join our growing team. You will work closely with cross-functional stakeholders to deliver data-driven solutions. Key requirements include proficiency in SQL, Excel, Tableau, Power BI, Git, Python. This is a On-site position. We offer competitive compensation and a collaborative work environment.",Glassdoor,2026-01-05,76,stable,FAANG+,2026-03-22T19:50:30
839cf7ef-d77,Data Scientist,Data Scientist,Mid Level,Goldman Sachs,Enterprise,Logistics/Supply Chain,"Miami, FL",Hybrid,False,,,110000,SQL|scikit-learn|Snowflake|Git|A/B Testing|R,6,2,4,Bachelor's Degree,No,Mental Health Benefits|Free Meals|Gym Membership|Learning Budget|401k Match,"We are looking for a Mid Level Data Scientist to join our growing team. You will work closely with cross-functional stakeholders to deliver data-driven solutions. Key requirements include proficiency in SQL, scikit-learn, Snowflake, Git, A/B Testing, R. This is a Hybrid position. We offer competitive compensation and a collaborative work environment.",Levels.fyi,2026-03-11,11,stable,Enterprise,2026-03-22T19:50:30
c14826a6-d75,Analytics Engineer,Analytics Engineer,Mid Level,Zendesk,Mid-market,Healthcare/BioTech,"Denver, CO",Hybrid,False,,,100000,SQL|Tableau|BigQuery|Snowflake|dbt|Data Modeling,6,5,8,No Degree Required,No,Unlimited PTO|Parental Leave|Mental Health Benefits|Free Meals|401k Match|Learning Budget|Health Insurance,"We are looking for a Mid Level Analytics Engineer to join our growing team. You will work closely with cross-functional stakeholders to deliver data-driven solutions. Key requirements include proficiency in SQL, Tableau, BigQuery, Snowflake, dbt, Data Modeling. This is a Hybrid position. We offer competitive compensation and a collaborative work environment.",Levels.fyi,2026-01-18,63,high,Mid-market,2026-03-22T19:50:30
53f0b5ac-5f3,Data Analyst,Data Analyst,Mid Level,DataMesh Labs,Startup,AI/ML Platform,"Chicago, IL",Hybrid,False,,,80000,Looker|Excel|Tableau|Redshift|Power BI|Google Sheets|Git|dbt|Python,9,3,6,Master's Preferred,No,Remote Work Stipend|Mental Health Benefits|401k Match|Learning Budget,"We are looking for a Mid Level Data Analyst to join our growing team. You will work closely with cross-functional stakeholders to deliver data-driven solutions. Key requirements include proficiency in Looker, Excel, Tableau, Redshift, Power BI, Google Sheets. This is a Hybrid position. We offer competitive compensation and a collaborative work environment.",Indeed,2026-03-12,10,stable,Startup,2026-03-22T19:50:30
4751f932-e0d,Entry Level Data Analyst,Data Analyst,Entry Level,Cohere,Scale-up,Cybersecurity,"San Francisco, CA",Remote,True,107000,136000,120000,Looker|SQL|Excel|Tableau|Power BI|Git|Python,7,0,2,Bachelor's Degree,Possible,Gym Membership|Free Meals|Unlimited PTO|Mental Health Benefits|401k Match|Stock Options / RSUs,"We are looking for a Entry Level Data Analyst to join our growing team. You will work closely with cross-functional stakeholders to deliver data-driven solutions. Key requirements include proficiency in Looker, SQL, Excel, Tableau, Power BI, Git. This is a Remote position. We offer competitive compensation and a collaborative work environment.",Levels.fyi,2026-03-11,11,stable,Scale-up,2026-03-22T19:50:30
c9db69d4-e53,Senior Data Engineer,Data Engineer,Senior,Scale AI,Scale-up,Gaming,"Atlanta, GA",Remote,True,,,290000,Docker|GCP|Kubernetes|Databricks|Kafka|dbt|Python,7,6,7,Bachelor's Degree,No,Parental Leave|Remote Work Stipend|Free Meals|Stock Options / RSUs|Health Insurance,"We are looking for a Senior Data Engineer to join our growing team. You will work closely with cross-functional stakeholders to deliver data-driven solutions. Key requirements include proficiency in Docker, GCP, Kubernetes, Databricks, Kafka, dbt. This is a Remote position. We offer competitive compensation and a collaborative work environment.",LinkedIn,2026-03-12,10,high,Scale-up,2026-03-22T19:50:30
74aac748-131,Senior Data Engineer,Data Engineer,Senior,Cloudflare,Mid-market,Cybersecurity,"Denver, CO",Remote,True,200000,252000,235000,SQL|Airflow|GCP|Git|Snowflake|Kafka|Kubernetes|Python,8,9,12,Master's Preferred,Yes,401k Match|Health Insurance|Remote Work Stipend|Mental Health Benefits|Learning Budget,"We are looking for a Senior Data Engineer to join our growing team. You will work closely with cross-functional stakeholders to deliver data-driven solutions. Key requirements include proficiency in SQL, Airflow, GCP, Git, Snowflake, Kafka. This is a Remote position. We offer competitive compensation and a collaborative work environment.",Levels.fyi,2026-02-08,42,high,Mid-market,2026-03-22T19:50:30
ea41e033-945,Senior Business Intelligence Developer,Business Intelligence Developer,Senior,Mistral,Scale-up,Cybersecurity,"Atlanta, GA",Hybrid,False,,,185000,DAX|Looker|Tableau|Python,4,7,8,Bachelor's Degree,No,401k Match|Parental Leave|Learning Budget|Mental Health Benefits|Unlimited PTO|Free Meals,"We are looking for a Senior Business Intelligence Developer to join our growing team. You will work closely with cross-functional stakeholders to deliver data-driven solutions. Key requirements include proficiency in DAX, Looker, Tableau, Python. This is a Hybrid position. We offer competitive compensation and a collaborative work environment.",Indeed,2026-02-27,23,declining,Scale-up,2026-03-22T19:50:30
ae057499-c8b,Staff/Lead Data Scientist,Data Scientist,Staff/Lead,Okta,Mid-market,EdTech,"Los Angeles, CA",On-site,False,,,290000,Docker|SQL|Airflow|Statistics|Git|A/B Testing|R|Python,8,12,14,Bachelor's Degree,Yes,Unlimited PTO|Learning Budget|Remote Work Stipend|Stock Options / RSUs|Parental Leave|Mental Health Benefits,"We are looking for a Staff/Lead Data Scientist to join our growing team. You will work closely with cross-functional stakeholders to deliver data-driven solutions. Key requirements include proficiency in Docker, SQL, Airflow, Statistics, Git, A/B Testing. This is a On-site position. We offer competitive compensation and a collaborative work environment.",Glassdoor,2026-03-09,13,stable,Mid-market,2026-03-22T19:50:30
d8dd9955-fbf,Senior AI/LLM Engineer,AI/LLM Engineer,Senior,Wells Fargo,Enterprise,AdTech/MarTech,"San Francisco, CA",Remote,True,,,435000,Weaviate|Hugging Face|PyTorch|LangChain|RAG|Vector Databases|Pinecone|OpenAI API|Git|Python,10,9,11,Master's Preferred,Yes,Remote Work Stipend|Free Meals|Gym Membership|401k Match|Health Insurance|Parental Leave,"We are looking for a Senior AI/LLM Engineer to join our growing team. You will work closely with cross-functional stakeholders to deliver data-driven solutions. Key requirements include proficiency in Weaviate, Hugging Face, PyTorch, LangChain, RAG, Vector Databases. This is a Remote position. We offer competitive compensation and a collaborative work environment.",LinkedIn,2026-03-04,18,explosive,Enterprise,2026-03-22T19:50:30
23953d4b-8c6,Senior Data Scientist,Data Scientist,Senior,Zendesk,Mid-market,AdTech/MarTech,"New York, NY",Hybrid,False,,,355000,AWS|SQL|scikit-learn|Git|A/B Testing|R|Python,7,5,8,PhD Preferred,No,401k Match|Health Insurance|Remote Work Stipend|Unlimited PTO|Parental Leave|Learning Budget,"We are looking for a Senior Data Scientist to join our growing team. You will work closely with cross-functional stakeholders to deliver data-driven solutions. Key requirements include proficiency in AWS, SQL, scikit-learn, Git, A/B Testing, R. This is a Hybrid position. We offer competitive compensation and a collaborative work environment.",Indeed,2026-03-11,11,stable,Mid-market,2026-03-22T19:50:30
bdcaddb1-ec5,Senior Business Intelligence Developer,Business Intelligence Developer,Senior,Modal,Scale-up,AI/ML Platform,"Chicago, IL",Remote,True,,,170000,Looker|SQL|Excel|Snowflake|Tableau|DAX,6,8,11,Bachelor's Degree,No,Mental Health Benefits|Free Meals|Remote Work Stipend|Parental Leave|Gym Membership|Unlimited PTO,"We are looking for a Senior Business Intelligence Developer to join our growing team. You will work closely with cross-functional stakeholders to deliver data-driven solutions. Key requirements include proficiency in Looker, SQL, Excel, Snowflake, Tableau, DAX. This is a Remote position. We offer competitive compensation and a collaborative work environment.",Company Website,2026-02-20,30,declining,Scale-up,2026-03-22T19:50:30
29c32cb8-ae1,Senior Data Scientist,Data Scientist,Senior,Target,Enterprise,SaaS/Cloud,"San Francisco, CA",On-site,False,243000,297000,280000,AWS|GCP|scikit-learn|Statistics|Databricks|Git|A/B Testing,7,7,10,No Degree Required,Yes,Free Meals|Unlimited PTO|Parental Leave|Health Insurance|Remote Work Stipend,"We are looking for a Senior Data Scientist to join our growing team. You will work closely with cross-functional stakeholders to deliver data-driven solutions. Key requirements include proficiency in AWS, GCP, scikit-learn, Statistics, Databricks, Git. This is a On-site position. We offer competitive compensation and a collaborative work environment.",Indeed,2026-01-16,65,stable,Enterprise,2026-03-22T19:50:30
5c818bdc-f73,Senior Data Platform Engineer,Data Platform Engineer,Senior,DataFlow Inc,Startup,InsurTech,"San Francisco, CA",Hybrid,False,216000,272000,245000,AWS|Terraform|GCP|Spark|Git|Kubernetes|Kafka|Helm|Python,9,9,12,PhD Preferred,No,Free Meals|Health Insurance|Stock Options / RSUs|Unlimited PTO|Remote Work Stipend,"We are looking for a Senior Data Platform Engineer to join our growing team. You will work closely with cross-functional stakeholders to deliver data-driven solutions. Key requirements include proficiency in AWS, Terraform, GCP, Spark, Git, Kubernetes. This is a Hybrid position. We offer competitive compensation and a collaborative work environment.",Levels.fyi,2025-12-12,100,high,Startup,2026-03-22T19:50:30
ac5794eb-21d,Senior Data Platform Engineer,Data Platform Engineer,Senior,Mistral,Scale-up,FinTech,"Austin, TX",On-site,False,229000,295000,250000,AWS|Azure|Terraform|SQL|Spark|Prometheus|Kubernetes|Databricks|Kafka,9,7,9,Master's Preferred,Possible,Gym Membership|Mental Health Benefits|Parental Leave,"We are looking for a Senior Data Platform Engineer to join our growing team. You will work closely with cross-functional stakeholders to deliver data-driven solutions. Key requirements include proficiency in AWS, Azure, Terraform, SQL, Spark, Prometheus. This is a On-site position. We offer competitive compensation and a collaborative work environment.",Indeed,2026-03-18,4,high,Scale-up,2026-03-22T19:50:30
a7c1eb47-931,Senior Machine Learning Engineer,Machine Learning Engineer,Senior,IBM,Enterprise,SaaS/Cloud,"Los Angeles, CA",Remote,True,359000,417000,390000,AWS SageMaker|MLflow|TensorFlow|Ray|Kubernetes|Python,6,6,7,No Degree Required,No,Remote Work Stipend|Gym Membership|Free Meals|Unlimited PTO|Parental Leave|Learning Budget,"We are looking for a Senior Machine Learning Engineer to join our growing team. You will work closely with cross-functional stakeholders to deliver data-driven solutions. Key requirements include proficiency in AWS SageMaker, MLflow, TensorFlow, Ray, Kubernetes, Python. This is a Remote position. We offer competitive compensation and a collaborative work environment.",Levels.fyi,2026-03-02,20,very_high,Enterprise,2026-03-22T19:50:30
01053158-861,Senior AI/LLM Engineer,AI/LLM Engineer,Senior,Anyscale,Scale-up,FinTech,"Los Angeles, CA",Remote,True,,,360000,Weaviate|Azure|PyTorch|LangChain|FastAPI|RAG|Vector Databases|OpenAI API|Python,9,8,10,Master's Preferred,No,Unlimited PTO|Free Meals|Parental Leave|401k Match|Gym Membership,"We are looking for a Senior AI/LLM Engineer to join our growing team. You will work closely with cross-functional stakeholders to deliver data-driven solutions. Key requirements include proficiency in Weaviate, Azure, PyTorch, LangChain, FastAPI, RAG. This is a Remote position. We offer competitive compensation and a collaborative work environment.",Glassdoor,2026-03-09,13,explosive,Scale-up,2026-03-22T19:50:30
50be84ef-80f,Senior Data Scientist,Data Scientist,Senior,VectorSearch Co,Startup,Logistics/Supply Chain,"Austin, TX",Hybrid,False,162000,205000,180000,AWS|GCP|scikit-learn|Statistics|Jupyter|Snowflake|Python,7,6,7,PhD Preferred,Yes,401k Match|Learning Budget|Parental Leave|Stock Options / RSUs|Gym Membership|Unlimited PTO,"We are looking for a Senior Data Scientist to join our growing team. You will work closely with cross-functional stakeholders to deliver data-driven solutions. Key requirements include proficiency in AWS, GCP, scikit-learn, Statistics, Jupyter, Snowflake. This is a Hybrid position. We offer competitive compensation and a collaborative work environment.",LinkedIn,2026-03-01,21,stable,Startup,2026-03-22T19:50:30
74ac5a8a-3d6,Principal Data Scientist,Data Scientist,Principal,Scale AI,Scale-up,Cybersecurity,"Washington, DC",Remote,True,413000,550000,480000,AWS|Docker|SQL|Airflow|Databricks|R|Python,7,15,17,Bachelor's Degree,No,Stock Options / RSUs|Free Meals|401k Match|Remote Work Stipend,"We are looking for a Principal Data Scientist to join our growing team. You will work closely with cross-functional stakeholders to deliver data-driven solutions. Key requirements include proficiency in AWS, Docker, SQL, Airflow, Databricks, R. This is a Remote position. We offer competitive compensation and a collaborative work environment.",Company Website,2026-03-04,18,stable,Scale-up,2026-03-22T19:50:30
9eaca901-5cb,Senior Data Analyst,Data Analyst,Senior,Zendesk,Mid-market,InsurTech,"New York, NY",Remote,True,185000,238000,210000,Looker|Excel|Redshift|Power BI|Google Sheets|Snowflake|Git,7,7,8,Master's Preferred,Yes,Free Meals|Learning Budget|Remote Work Stipend|Gym Membership|Stock Options / RSUs|Health Insurance,"We are looking for a Senior Data Analyst to join our growing team. You will work closely with cross-functional stakeholders to deliver data-driven solutions. Key requirements include proficiency in Looker, Excel, Redshift, Power BI, Google Sheets, Snowflake. This is a Remote position. We offer competitive compensation and a collaborative work environment.",Levels.fyi,2025-09-23,180,stable,Mid-market,2026-03-22T19:50:30
f7969c1c-071,Principal Data Analyst,Data Analyst,Principal,Walmart,Enterprise,Cybersecurity,"Washington, DC",On-site,False,,,250000,Looker|Excel|Tableau|Redshift|Google Sheets|BigQuery|Python,7,20,23,Master's Preferred,Yes,Stock Options / RSUs|401k Match|Remote Work Stipend|Free Meals|Learning Budget,"We are looking for a Principal Data Analyst to join our growing team. You will work closely with cross-functional stakeholders to deliver data-driven solutions. Key requirements include proficiency in Looker, Excel, Tableau, Redshift, Google Sheets, BigQuery. This is a On-site position. We offer competitive compensation and a collaborative work environment.",Indeed,2026-03-21,1,stable,Enterprise,2026-03-22T19:50:30
e6cdbb9c-750,Staff/Lead Data Analyst,Data Analyst,Staff/Lead,QueryCraft,Startup,SaaS/Cloud,"Boston, MA",On-site,False,,,200000,Looker|SQL|Excel|Tableau|Power BI|Google Sheets|Snowflake|Git,8,7,9,Bachelor's Degree,No,Free Meals|Parental Leave|Learning Budget|Health Insurance|Mental Health Benefits,"We are looking for a Staff/Lead Data Analyst to join our growing team. You will work closely with cross-functional stakeholders to deliver data-driven solutions. Key requirements include proficiency in Looker, SQL, Excel, Tableau, Power BI, Google Sheets. This is a On-site position. We offer competitive compensation and a collaborative work environment.",Levels.fyi,2026-03-22,0,stable,Startup,2026-03-22T19:50:30
376d2f3a-e98,Senior Data Engineer,Data Engineer,Senior,DataMesh Labs,Startup,Media/Streaming,"Seattle, WA",Hybrid,False,218000,262000,245000,Azure|Airflow|Kubernetes|Databricks|dbt|Python,6,8,10,Master's Preferred,Possible,Free Meals|Stock Options / RSUs|Parental Leave|Learning Budget|Health Insurance|Unlimited PTO,"We are looking for a Senior Data Engineer to join our growing team. You will work closely with cross-functional stakeholders to deliver data-driven solutions. Key requirements include proficiency in Azure, Airflow, Kubernetes, Databricks, dbt, Python. This is a Hybrid position. We offer competitive compensation and a collaborative work environment.",Levels.fyi,2026-02-13,37,high,Startup,2026-03-22T19:50:30
cac76ec6-bd7,Business Intelligence Developer,Business Intelligence Developer,Mid Level,Hugging Face,Scale-up,SaaS/Cloud,"Austin, TX",On-site,False,,,95000,Looker|SQL|Tableau|Power BI|Snowflake|Data Modeling,6,3,6,PhD Preferred,Yes,Unlimited PTO|Stock Options / RSUs|Free Meals|Health Insurance|Remote Work Stipend,"We are looking for a Mid Level Business Intelligence Developer to join our growing team. You will work closely with cross-functional stakeholders to deliver data-driven solutions. Key requirements include proficiency in Looker, SQL, Tableau, Power BI, Snowflake, Data Modeling. This is a On-site position. We offer competitive compensation and a collaborative work environment.",Company Website,2026-02-16,34,declining,Scale-up,2026-03-22T19:50:30
5943873b-456,Senior Data Analyst,Data Analyst,Senior,QueryCraft,Startup,Logistics/Supply Chain,"Washington, DC",On-site,False,129000,163000,150000,Looker|SQL|Power BI|Snowflake|Python,5,6,9,No Degree Required,Yes,Gym Membership|401k Match|Free Meals|Unlimited PTO|Parental Leave|Stock Options / RSUs,"We are looking for a Senior Data Analyst to join our growing team. You will work closely with cross-functional stakeholders to deliver data-driven solutions. Key requirements include proficiency in Looker, SQL, Power BI, Snowflake, Python. This is a On-site position. We offer competitive compensation and a collaborative work environment.",Company Website,2026-03-09,13,stable,Startup,2026-03-22T19:50:30
7efe2a9c-e18,Senior Data Engineer,Data Engineer,Senior,SAP,Enterprise,Logistics/Supply Chain,"San Francisco, CA",On-site,False,,,220000,AWS|Docker|Terraform|Airflow|Kubernetes|Kafka|Python,7,7,10,No Degree Required,No,Gym Membership|Learning Budget|Parental Leave|Remote Work Stipend|Mental Health Benefits|Stock Options / RSUs|Unlimited PTO,"We are looking for a Senior Data Engineer to join our growing team. You will work closely with cross-functional stakeholders to deliver data-driven solutions. Key requirements include proficiency in AWS, Docker, Terraform, Airflow, Kubernetes, Kafka. This is a On-site position. We offer competitive compensation and a collaborative work environment.",Company Website,2026-03-17,5,high,Enterprise,2026-03-22T19:50:30
2da927d6-897,Senior Machine Learning Engineer,Machine Learning Engineer,Senior,DataFlow Inc,Startup,EdTech,"Seattle, WA",Remote,True,,,305000,AWS SageMaker|Weights & Biases|MLflow|PyTorch|scikit-learn|Kubernetes|Databricks|Ray,8,7,9,Bachelor's Degree,Possible,401k Match|Free Meals|Gym Membership|Health Insurance|Unlimited PTO|Parental Leave,"We are looking for a Senior Machine Learning Engineer to join our growing team. You will work closely with cross-functional stakeholders to deliver data-driven solutions. Key requirements include proficiency in AWS SageMaker, Weights & Biases, MLflow, PyTorch, scikit-learn, Kubernetes. This is a Remote position. We offer competitive compensation and a collaborative work environment.",Glassdoor,2026-03-10,12,very_high,Startup,2026-03-22T19:50:30
615c242c-809,Senior AI/LLM Engineer,AI/LLM Engineer,Senior,Oracle,Enterprise,FinTech,"Boston, MA",Hybrid,False,,,420000,Azure|GCP|LangChain|RAG|Vector Databases|Pinecone|OpenAI API|Python,8,9,11,Bachelor's Degree,Yes,Gym Membership|Free Meals|Health Insurance|Remote Work Stipend|Learning Budget|Stock Options / RSUs,"We are looking for a Senior AI/LLM Engineer to join our growing team. You will work closely with cross-functional stakeholders to deliver data-driven solutions. Key requirements include proficiency in Azure, GCP, LangChain, RAG, Vector Databases, Pinecone. This is a Hybrid position. We offer competitive compensation and a collaborative work environment.",Indeed,2026-03-18,4,explosive,Enterprise,2026-03-22T19:50:30
9acb4e69-dd0,Entry Level Data Analyst,Data Analyst,Entry Level,QueryCraft,Startup,InsurTech,"Seattle, WA",Hybrid,False,,,50000,Git|Power BI|Looker|Python,4,1,3,Bachelor's Degree,No,Free Meals|401k Match|Health Insurance|Gym Membership|Parental Leave|Remote Work Stipend|Mental Health Benefits,"We are looking for a Entry Level Data Analyst to join our growing team. You will work closely with cross-functional stakeholders to deliver data-driven solutions. Key requirements include proficiency in Git, Power BI, Looker, Python. This is a Hybrid position. We offer competitive compensation and a collaborative work environment.",LinkedIn,2026-03-09,13,stable,Startup,2026-03-22T19:50:30
