job_id,title,role_category,seniority,company,company_tier,industry,location,remote_type,is_remote,salary_min,salary_max,salary_midpoint,num_skills_required,yoe_min,yoe_max,education_required,visa_sponsorship,source,date_posted,days_since_posted,growth_trend,company_size_tier,year_month,week,salary_band,skills_list,num_skills,skills_clean,requires_python,requires_sql,requires_cloud,requires_llm,seniority_rank,salary_vs_median_pct,is_high_growth_role,is_fresh_posting,hiring_tier
6b7e1059-9a8,Entry Level Machine Learning Engineer,Machine Learning Engineer,Entry Level,Anyscale,Scale-up,AdTech/MarTech,"Boston, MA",Remote,True,149000.0,204000.0,175000.0,7,2,3,Master's Preferred,No,LinkedIn,2026-02-24,26,very_high,Scale-up,2026-02,9,$170-210k,"['Kubernetes', 'Scikit-Learn', 'Tensorflow', 'Aws Sagemaker', 'Python', 'Gcp Vertex Ai', 'Mlflow']",7,Aws Sagemaker|Gcp Vertex Ai|Kubernetes|Mlflow|Python|Scikit-Learn|Tensorflow,True,False,False,False,1,-31.4,True,False,High Growth
4887231e-c8a,Data Analyst,Data Analyst,Mid Level,Databricks,Scale-up,Cybersecurity,"Seattle, WA",Hybrid,False,152000.0,205000.0,175000.0,8,2,4,Master's Preferred,Yes,Glassdoor,2026-01-13,68,stable,Scale-up,2026-01,3,$170-210k,"['Bigquery', 'Power Bi', 'Excel', 'Snowflake', 'Redshift', 'Python', 'Google Sheets', 'Sql']",8,Bigquery|Excel|Google Sheets|Power Bi|Python|Redshift|Snowflake|Sql,True,False,False,False,2,45.8,False,False,High Growth
39c1f850-af8,Data Analyst,Data Analyst,Mid Level,Netflix,FAANG+,InsurTech,"Seattle, WA",On-site,False,194000.0,221000.0,205000.0,6,2,4,Bachelor's Degree,Yes,Glassdoor,2026-01-05,76,stable,FAANG+,2026-01,2,$170-210k,"['Power Bi', 'Excel', 'Tableau', 'Python', 'Git', 'Sql']",6,Excel|Git|Power Bi|Python|Sql|Tableau,True,False,False,False,2,70.8,False,False,Elite
839cf7ef-d77,Data Scientist,Data Scientist,Mid Level,Goldman Sachs,Enterprise,Logistics/Supply Chain,"Miami, FL",Hybrid,False,,,110000.0,6,2,4,Bachelor's Degree,No,Levels.fyi,2026-03-11,11,stable,Enterprise,2026-03,11,$80-110k,"['B Testing', 'Scikit-Learn', 'Snowflake', 'Git', 'Sql']",5,B Testing|Git|Scikit-Learn|Snowflake|Sql,False,False,False,False,2,-42.1,False,False,Stable
c14826a6-d75,Analytics Engineer,Analytics Engineer,Mid Level,Zendesk,Mid-market,Healthcare/BioTech,"Denver, CO",Hybrid,False,,,100000.0,6,5,8,No Degree Required,No,Levels.fyi,2026-01-18,63,high,Mid-market,2026-01,3,$80-110k,"['Bigquery', 'Tableau', 'Snowflake', 'Data Modeling', 'Dbt', 'Sql']",6,Bigquery|Data Modeling|Dbt|Snowflake|Sql|Tableau,False,False,False,False,2,-37.5,True,False,Stable
53f0b5ac-5f3,Data Analyst,Data Analyst,Mid Level,DataMesh Labs,Startup,AI/ML Platform,"Chicago, IL",Hybrid,False,,,80000.0,9,3,6,Master's Preferred,No,Indeed,2026-03-12,10,stable,Startup,2026-03,11,<$80k,"['Power Bi', 'Excel', 'Tableau', 'Looker', 'Redshift', 'Dbt', 'Python', 'Google Sheets', 'Git']",9,Dbt|Excel|Git|Google Sheets|Looker|Power Bi|Python|Redshift|Tableau,True,False,False,False,2,-33.3,False,False,Early Stage
4751f932-e0d,Entry Level Data Analyst,Data Analyst,Entry Level,Cohere,Scale-up,Cybersecurity,"San Francisco, CA",Remote,True,107000.0,136000.0,120000.0,7,0,2,Bachelor's Degree,Possible,Levels.fyi,2026-03-11,11,stable,Scale-up,2026-03,11,$110-140k,"['Power Bi', 'Excel', 'Tableau', 'Looker', 'Python', 'Git', 'Sql']",7,Excel|Git|Looker|Power Bi|Python|Sql|Tableau,True,False,False,False,1,0.0,False,False,High Growth
c9db69d4-e53,Senior Data Engineer,Data Engineer,Senior,Scale AI,Scale-up,Gaming,"Atlanta, GA",Remote,True,,,290000.0,7,6,7,Bachelor's Degree,No,LinkedIn,2026-03-12,10,high,Scale-up,2026-03,11,$280k+,"['Docker', 'Kubernetes', 'Kafka', 'GCP', 'Dbt', 'Python', 'Databricks']",7,Databricks|Dbt|Docker|GCP|Kafka|Kubernetes|Python,True,False,True,False,3,61.1,True,False,High Growth
74aac748-131,Senior Data Engineer,Data Engineer,Senior,Cloudflare,Mid-market,Cybersecurity,"Denver, CO",Remote,True,200000.0,252000.0,235000.0,8,9,12,Master's Preferred,Yes,Levels.fyi,2026-02-08,42,high,Mid-market,2026-02,6,$210-280k,"['Kubernetes', 'Kafka', 'Airflow', 'GCP', 'Snowflake', 'Python', 'Git', 'Sql']",8,Airflow|GCP|Git|Kafka|Kubernetes|Python|Snowflake|Sql,True,False,True,False,3,30.6,True,False,Stable
ea41e033-945,Senior Business Intelligence Developer,Business Intelligence Developer,Senior,Mistral,Scale-up,Cybersecurity,"Atlanta, GA",Hybrid,False,,,185000.0,4,7,8,Bachelor's Degree,No,Indeed,2026-02-27,23,declining,Scale-up,2026-02,9,$170-210k,"['Python', 'Looker', 'Dax', 'Tableau']",4,Dax|Looker|Python|Tableau,True,False,False,False,3,32.1,False,False,High Growth
ae057499-c8b,Staff/Lead Data Scientist,Data Scientist,Staff/Lead,Okta,Mid-market,EdTech,"Los Angeles, CA",On-site,False,,,290000.0,8,12,14,Bachelor's Degree,Yes,Glassdoor,2026-03-09,13,stable,Mid-market,2026-03,11,$280k+,"['Docker', 'B Testing', 'Airflow', 'Statistics', 'Python', 'Git', 'Sql']",7,Airflow|B Testing|Docker|Git|Python|Sql|Statistics,True,False,False,False,4,52.6,False,False,Stable
d8dd9955-fbf,Senior AI/LLM Engineer,AI/LLM Engineer,Senior,Wells Fargo,Enterprise,AdTech/MarTech,"San Francisco, CA",Remote,True,,,435000.0,10,9,11,Master's Preferred,Yes,LinkedIn,2026-03-04,18,explosive,Enterprise,2026-03,10,$280k+,"['Openai Api', 'Weaviate', 'Vector Databases', 'LangChain', 'Git', 'Python', 'Pinecone', 'RAG', 'PyTorch', 'Hugging Face']",10,Git|Hugging Face|LangChain|Openai Api|Pinecone|PyTorch|Python|RAG|Vector Databases|Weaviate,True,False,False,True,3,50.0,True,False,Stable
23953d4b-8c6,Senior Data Scientist,Data Scientist,Senior,Zendesk,Mid-market,AdTech/MarTech,"New York, NY",Hybrid,False,,,355000.0,7,5,8,PhD Preferred,No,Indeed,2026-03-11,11,stable,Mid-market,2026-03,11,$280k+,"['B Testing', 'Scikit-Learn', 'Python', 'Aws', 'Git', 'Sql']",6,Aws|B Testing|Git|Python|Scikit-Learn|Sql,True,False,False,False,3,86.8,False,False,Stable
bdcaddb1-ec5,Senior Business Intelligence Developer,Business Intelligence Developer,Senior,Modal,Scale-up,AI/ML Platform,"Chicago, IL",Remote,True,,,170000.0,6,8,11,Bachelor's Degree,No,Company Website,2026-02-20,30,declining,Scale-up,2026-02,8,$140-170k,"['Tableau', 'Excel', 'Looker', 'Snowflake', 'Dax', 'Sql']",6,Dax|Excel|Looker|Snowflake|Sql|Tableau,False,False,False,False,3,21.4,False,False,High Growth
29c32cb8-ae1,Senior Data Scientist,Data Scientist,Senior,Target,Enterprise,SaaS/Cloud,"San Francisco, CA",On-site,False,243000.0,297000.0,280000.0,7,7,10,No Degree Required,Yes,Indeed,2026-01-16,65,stable,Enterprise,2026-01,3,$210-280k,"['B Testing', 'Git', 'GCP', 'Scikit-Learn', 'Statistics', 'Aws', 'Databricks']",7,Aws|B Testing|Databricks|GCP|Git|Scikit-Learn|Statistics,False,False,True,False,3,47.4,False,False,Stable
5c818bdc-f73,Senior Data Platform Engineer,Data Platform Engineer,Senior,DataFlow Inc,Startup,InsurTech,"San Francisco, CA",Hybrid,False,216000.0,272000.0,245000.0,9,9,12,PhD Preferred,No,Levels.fyi,2025-12-12,100,high,Startup,2025-12,50,$210-280k,"['Kubernetes', 'Terraform', 'Kafka', 'GCP', 'Python', 'Aws', 'Spark', 'Helm', 'Git']",9,Aws|GCP|Git|Helm|Kafka|Kubernetes|Python|Spark|Terraform,True,False,True,False,3,22.5,True,False,Early Stage
ac5794eb-21d,Senior Data Platform Engineer,Data Platform Engineer,Senior,Mistral,Scale-up,FinTech,"Austin, TX",On-site,False,229000.0,295000.0,250000.0,9,7,9,Master's Preferred,Possible,Indeed,2026-03-18,4,high,Scale-up,2026-03,12,$210-280k,"['Kubernetes', 'Terraform', 'Kafka', 'Prometheus', 'Databricks', 'Aws', 'Spark', 'Azure', 'Sql']",9,Aws|Azure|Databricks|Kafka|Kubernetes|Prometheus|Spark|Sql|Terraform,False,False,True,False,3,25.0,True,True,High Growth
a7c1eb47-931,Senior Machine Learning Engineer,Machine Learning Engineer,Senior,IBM,Enterprise,SaaS/Cloud,"Los Angeles, CA",Remote,True,359000.0,417000.0,390000.0,6,6,7,No Degree Required,No,Levels.fyi,2026-03-02,20,very_high,Enterprise,2026-03,10,$280k+,"['Kubernetes', 'Tensorflow', 'Aws Sagemaker', 'Ray', 'Python', 'Mlflow']",6,Aws Sagemaker|Kubernetes|Mlflow|Python|Ray|Tensorflow,True,False,False,False,3,52.9,True,False,Stable
01053158-861,Senior AI/LLM Engineer,AI/LLM Engineer,Senior,Anyscale,Scale-up,FinTech,"Los Angeles, CA",Remote,True,,,360000.0,9,8,10,Master's Preferred,No,Glassdoor,2026-03-09,13,explosive,Scale-up,2026-03,11,$280k+,"['Openai Api', 'Weaviate', 'Vector Databases', 'LangChain', 'Python', 'PyTorch', 'Fastapi', 'RAG', 'Azure']",9,Azure|Fastapi|LangChain|Openai Api|PyTorch|Python|RAG|Vector Databases|Weaviate,True,False,True,True,3,24.1,True,False,High Growth
50be84ef-80f,Senior Data Scientist,Data Scientist,Senior,VectorSearch Co,Startup,Logistics/Supply Chain,"Austin, TX",Hybrid,False,162000.0,205000.0,180000.0,7,6,7,PhD Preferred,Yes,LinkedIn,2026-03-01,21,stable,Startup,2026-03,9,$170-210k,"['GCP', 'Scikit-Learn', 'Snowflake', 'Statistics', 'Python', 'Aws', 'Jupyter']",7,Aws|GCP|Jupyter|Python|Scikit-Learn|Snowflake|Statistics,True,False,True,False,3,-5.3,False,False,Early Stage
74ac5a8a-3d6,Principal Data Scientist,Data Scientist,Principal,Scale AI,Scale-up,Cybersecurity,"Washington, DC",Remote,True,413000.0,550000.0,480000.0,7,15,17,Bachelor's Degree,No,Company Website,2026-03-04,18,stable,Scale-up,2026-03,10,$280k+,"['Docker', 'Airflow', 'Python', 'Aws', 'Databricks', 'Sql']",6,Airflow|Aws|Databricks|Docker|Python|Sql,True,False,False,False,5,152.6,False,False,High Growth
f7969c1c-071,Principal Data Analyst,Data Analyst,Principal,Walmart,Enterprise,Cybersecurity,"Washington, DC",On-site,False,,,250000.0,7,20,23,Master's Preferred,Yes,Indeed,2026-03-21,1,stable,Enterprise,2026-03,12,$210-280k,"['Bigquery', 'Excel', 'Tableau', 'Looker', 'Redshift', 'Python', 'Google Sheets']",7,Bigquery|Excel|Google Sheets|Looker|Python|Redshift|Tableau,True,False,False,False,5,108.3,False,True,Stable
e6cdbb9c-750,Staff/Lead Data Analyst,Data Analyst,Staff/Lead,QueryCraft,Startup,SaaS/Cloud,"Boston, MA",On-site,False,,,200000.0,8,7,9,Bachelor's Degree,No,Levels.fyi,2026-03-22,0,stable,Startup,2026-03,12,$170-210k,"['Power Bi', 'Excel', 'Tableau', 'Looker', 'Snowflake', 'Google Sheets', 'Git', 'Sql']",8,Excel|Git|Google Sheets|Looker|Power Bi|Snowflake|Sql|Tableau,False,False,False,False,4,66.7,False,True,Early Stage
376d2f3a-e98,Senior Data Engineer,Data Engineer,Senior,DataMesh Labs,Startup,Media/Streaming,"Seattle, WA",Hybrid,False,218000.0,262000.0,245000.0,6,8,10,Master's Preferred,Possible,Levels.fyi,2026-02-13,37,high,Startup,2026-02,7,$210-280k,"['Kubernetes', 'Airflow', 'Dbt', 'Python', 'Azure', 'Databricks']",6,Airflow|Azure|Databricks|Dbt|Kubernetes|Python,True,False,True,False,3,36.1,True,False,Early Stage
cac76ec6-bd7,Business Intelligence Developer,Business Intelligence Developer,Mid Level,Hugging Face,Scale-up,SaaS/Cloud,"Austin, TX",On-site,False,,,95000.0,6,3,6,PhD Preferred,Yes,Company Website,2026-02-16,34,declining,Scale-up,2026-02,8,$80-110k,"['Power Bi', 'Tableau', 'Looker', 'Snowflake', 'Data Modeling', 'Sql']",6,Data Modeling|Looker|Power Bi|Snowflake|Sql|Tableau,False,False,False,False,2,-32.1,False,False,High Growth
5943873b-456,Senior Data Analyst,Data Analyst,Senior,QueryCraft,Startup,Logistics/Supply Chain,"Washington, DC",On-site,False,129000.0,163000.0,150000.0,5,6,9,No Degree Required,Yes,Company Website,2026-03-09,13,stable,Startup,2026-03,11,$140-170k,"['Power Bi', 'Looker', 'Snowflake', 'Python', 'Sql']",5,Looker|Power Bi|Python|Snowflake|Sql,True,False,False,False,3,25.0,False,False,Early Stage
7efe2a9c-e18,Senior Data Engineer,Data Engineer,Senior,SAP,Enterprise,Logistics/Supply Chain,"San Francisco, CA",On-site,False,,,220000.0,7,7,10,No Degree Required,No,Company Website,2026-03-17,5,high,Enterprise,2026-03,12,$210-280k,"['Docker', 'Kubernetes', 'Terraform', 'Kafka', 'Airflow', 'Python', 'Aws']",7,Airflow|Aws|Docker|Kafka|Kubernetes|Python|Terraform,True,False,False,False,3,22.2,True,True,Stable
2da927d6-897,Senior Machine Learning Engineer,Machine Learning Engineer,Senior,DataFlow Inc,Startup,EdTech,"Seattle, WA",Remote,True,,,305000.0,8,7,9,Bachelor's Degree,Possible,Glassdoor,2026-03-10,12,very_high,Startup,2026-03,11,$280k+,"['Kubernetes', 'Scikit-Learn', 'Aws Sagemaker', 'Ray', 'Databricks', 'Weights & Biases', 'PyTorch', 'Mlflow']",8,Aws Sagemaker|Databricks|Kubernetes|Mlflow|PyTorch|Ray|Scikit-Learn|Weights & Biases,False,False,False,True,3,19.6,True,False,Early Stage
615c242c-809,Senior AI/LLM Engineer,AI/LLM Engineer,Senior,Oracle,Enterprise,FinTech,"Boston, MA",Hybrid,False,,,420000.0,8,9,11,Bachelor's Degree,Yes,Indeed,2026-03-18,4,explosive,Enterprise,2026-03,12,$280k+,"['Openai Api', 'Vector Databases', 'GCP', 'LangChain', 'Python', 'Pinecone', 'RAG', 'Azure']",8,Azure|GCP|LangChain|Openai Api|Pinecone|Python|RAG|Vector Databases,True,False,True,True,3,44.8,True,True,Stable
9acb4e69-dd0,Entry Level Data Analyst,Data Analyst,Entry Level,QueryCraft,Startup,InsurTech,"Seattle, WA",Hybrid,False,,,50000.0,4,1,3,Bachelor's Degree,No,LinkedIn,2026-03-09,13,stable,Startup,2026-03,11,<$80k,"['Python', 'Looker', 'Power Bi', 'Git']",4,Git|Looker|Power Bi|Python,True,False,False,False,1,-58.3,False,False,Early Stage
04fc0d70-f82,Data Analyst,Data Analyst,Mid Level,IBM,Enterprise,Logistics/Supply Chain,"Los Angeles, CA",Remote,True,87000.0,108000.0,95000.0,6,3,4,Bachelor's Degree,Yes,Company Website,2026-02-02,48,stable,Enterprise,2026-02,6,$80-110k,"['Power Bi', 'Excel', 'Tableau', 'Snowflake', 'Python', 'Sql']",6,Excel|Power Bi|Python|Snowflake|Sql|Tableau,True,False,False,False,2,-20.8,False,False,Stable
1f5fe397-375,Senior Analytics Engineer,Analytics Engineer,Senior,DataFlow Inc,Startup,Healthcare/BioTech,"Austin, TX",Hybrid,False,,,195000.0,9,6,9,Master's Preferred,No,Levels.fyi,2026-03-02,20,high,Startup,2026-03,10,$170-210k,"['Tableau', 'Looker', 'Snowflake', 'Data Modeling', 'Redshift', 'Dbt', 'Python', 'Databricks', 'Sql']",9,Data Modeling|Databricks|Dbt|Looker|Python|Redshift|Snowflake|Sql|Tableau,True,False,False,False,3,21.9,True,False,Early Stage
6fb253b9-b44,Entry Level Data Platform Engineer,Data Platform Engineer,Entry Level,MetricStack,Startup,E-commerce,"Seattle, WA",Remote,True,121000.0,143000.0,130000.0,6,0,3,PhD Preferred,No,Levels.fyi,2026-03-20,2,high,Startup,2026-03,12,$110-140k,"['Kubernetes', 'Terraform', 'Azure', 'Python', 'Git', 'Sql']",6,Azure|Git|Kubernetes|Python|Sql|Terraform,True,False,True,False,1,-35.0,True,True,Early Stage
bc25bfb3-0ab,Senior Data Engineer,Data Engineer,Senior,McKinsey,Enterprise,EdTech,"Denver, CO",Remote,True,152000.0,179000.0,170000.0,8,9,11,PhD Preferred,No,Levels.fyi,2026-02-27,23,high,Enterprise,2026-02,9,$140-170k,"['Terraform', 'Kafka', 'Airflow', 'Dbt', 'Azure', 'Python', 'Databricks', 'Sql']",8,Airflow|Azure|Databricks|Dbt|Kafka|Python|Sql|Terraform,True,False,True,False,3,-5.6,True,False,Stable
d95b9f34-ddf,AI/LLM Engineer,AI/LLM Engineer,Mid Level,Deloitte,Enterprise,E-commerce,"Austin, TX",Hybrid,False,228000.0,275000.0,250000.0,6,2,5,PhD Preferred,Yes,Company Website,2026-02-14,36,explosive,Enterprise,2026-02,7,$210-280k,"['Openai Api', 'Vector Databases', 'LangChain', 'Python', 'RAG', 'Git']",6,Git|LangChain|Openai Api|Python|RAG|Vector Databases,True,False,False,True,2,-13.8,True,False,Stable
9f140d60-425,Data Engineer,Data Engineer,Mid Level,Oracle,Enterprise,Media/Streaming,"Seattle, WA",Remote,True,,,140000.0,6,4,7,Bachelor's Degree,Yes,Glassdoor,2026-03-18,4,high,Enterprise,2026-03,12,$110-140k,"['Kafka', 'GCP', 'Dbt', 'Python', 'Aws', 'Sql']",6,Aws|Dbt|GCP|Kafka|Python|Sql,True,False,True,False,2,-22.2,True,True,Stable
23feb6af-baf,Data Scientist,Data Scientist,Mid Level,MetricStack,Startup,AI/ML Platform,"Boston, MA",On-site,False,179000.0,221000.0,195000.0,10,4,7,Master's Preferred,No,Levels.fyi,2025-12-22,90,stable,Startup,2025-12,52,$170-210k,"['B Testing', 'Scikit-Learn', 'Snowflake', 'Statistics', 'Sql', 'Python', 'Aws', 'Git', 'Jupyter']",9,Aws|B Testing|Git|Jupyter|Python|Scikit-Learn|Snowflake|Sql|Statistics,True,False,False,False,2,2.6,False,False,Early Stage
eba777bf-9c6,Staff/Lead Data Platform Engineer,Data Platform Engineer,Staff/Lead,Monte Carlo,Scale-up,FinTech,"San Francisco, CA",On-site,False,467000.0,581000.0,525000.0,7,8,9,Master's Preferred,No,Glassdoor,2026-03-11,11,high,Scale-up,2026-03,11,$280k+,"['Kubernetes', 'Terraform', 'Kafka', 'Python', 'Spark', 'Azure', 'Sql']",7,Azure|Kafka|Kubernetes|Python|Spark|Sql|Terraform,True,False,True,False,4,162.5,True,False,High Growth
8691421c-bd1,Data Analyst,Data Analyst,Mid Level,Hugging Face,Scale-up,Logistics/Supply Chain,"Los Angeles, CA",Hybrid,False,103000.0,134000.0,115000.0,7,5,6,Bachelor's Degree,No,Company Website,2026-02-19,31,stable,Scale-up,2026-02,8,$110-140k,"['Power Bi', 'Excel', 'Tableau', 'Looker', 'Snowflake', 'Python', 'Sql']",7,Excel|Looker|Power Bi|Python|Snowflake|Sql|Tableau,True,False,False,False,2,-4.2,False,False,High Growth
6ab54f5f-ebd,Senior Machine Learning Engineer,Machine Learning Engineer,Senior,Splunk,Mid-market,AI/ML Platform,"San Francisco, CA",Hybrid,False,422000.0,578000.0,495000.0,7,7,10,Master's Preferred,No,Indeed,2026-03-16,6,very_high,Mid-market,2026-03,12,$280k+,"['Docker', 'Kubernetes', 'Scikit-Learn', 'Tensorflow', 'Python', 'Git', 'Mlflow']",7,Docker|Git|Kubernetes|Mlflow|Python|Scikit-Learn|Tensorflow,True,False,False,False,3,94.1,True,True,Stable
84794eb7-fbf,Data Engineer,Data Engineer,Mid Level,Stripe,Scale-up,Logistics/Supply Chain,"Seattle, WA",Hybrid,False,,,165000.0,7,5,8,PhD Preferred,Yes,Glassdoor,2026-03-03,19,high,Scale-up,2026-03,10,$140-170k,"['Kafka', 'Git', 'GCP', 'Python', 'Spark', 'Databricks', 'Sql']",7,Databricks|GCP|Git|Kafka|Python|Spark|Sql,True,False,True,False,2,-8.3,True,False,High Growth
f7bb8827-dc6,Principal Analytics Engineer,Analytics Engineer,Principal,DataFlow Inc,Startup,InsurTech,"Austin, TX",Hybrid,False,202000.0,241000.0,220000.0,9,14,17,PhD Preferred,Yes,Levels.fyi,2025-11-12,130,high,Startup,2025-11,46,$210-280k,"['Git', 'Airflow', 'Looker', 'Data Modeling', 'Redshift', 'Dbt', 'Python', 'Databricks', 'Sql']",9,Airflow|Data Modeling|Databricks|Dbt|Git|Looker|Python|Redshift|Sql,True,False,False,False,5,37.5,True,False,Early Stage
abc2b023-1df,Staff/Lead Data Engineer,Data Engineer,Staff/Lead,Microsoft,FAANG+,EdTech,"Seattle, WA",Remote,True,,,420000.0,9,8,9,Bachelor's Degree,No,Levels.fyi,2026-03-22,0,high,FAANG+,2026-03,12,$280k+,"['Docker', 'Terraform', 'Git', 'Airflow', 'Dbt', 'Python', 'Spark', 'Azure', 'Sql']",9,Airflow|Azure|Dbt|Docker|Git|Python|Spark|Sql|Terraform,True,False,True,False,4,133.3,True,True,Elite
2085f95b-c66,Staff/Lead Data Analyst,Data Analyst,Staff/Lead,Databricks,Scale-up,Media/Streaming,"Chicago, IL",Remote,True,,,220000.0,8,11,12,Bachelor's Degree,Yes,LinkedIn,2026-03-18,4,stable,Scale-up,2026-03,12,$210-280k,"['Power Bi', 'Excel', 'Looker', 'Snowflake', 'Redshift', 'Python', 'Google Sheets', 'Sql']",8,Excel|Google Sheets|Looker|Power Bi|Python|Redshift|Snowflake|Sql,True,False,False,False,4,83.3,False,True,High Growth
95ca0ee1-587,Data Engineer,Data Engineer,Mid Level,Hugging Face,Scale-up,Healthcare/BioTech,"Miami, FL",Hybrid,False,94000.0,123000.0,110000.0,7,2,5,No Degree Required,Yes,Glassdoor,2026-03-17,5,high,Scale-up,2026-03,12,$80-110k,"['Kubernetes', 'Kafka', 'Airflow', 'Dbt', 'Python', 'Aws', 'Sql']",7,Airflow|Aws|Dbt|Kafka|Kubernetes|Python|Sql,True,False,False,False,2,-38.9,True,True,High Growth
